Backends,dask,pandas,duckdb,trino,snowflake,bigquery,clickhouse,postgres,polars,pyspark,mysql,impala,sqlite,mssql,datafusion
**API Coverage**,_192 (86%)_,_192 (86%)_,_191 (85%)_,_191 (85%)_,_190 (85%)_,_189 (84%)_,_182 (81%)_,_182 (81%)_,_169 (75%)_,_169 (75%)_,_162 (72%)_,_161 (72%)_,_158 (71%)_,_149 (67%)_,_58 (26%)_
`Abs`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`Acos`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`Add`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`Alias`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`All`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`AnalyticVectorizedUDF`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`And`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`Any`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`ApproxCountDistinct`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
