Backends,mysql,postgres,bigquery
**API Coverage**,_45 (85%)_,_45 (85%)_,_36 (68%)_
`GeoArea`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoAsBinary`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoAsEWKB`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`GeoAsEWKT`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`GeoAsText`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoAzimuth`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoBuffer`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoCentroid`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoContainsProperly`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`GeoContains`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoCoveredBy`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoCovers`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoCrosses`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`GeoDFullyWithin`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`GeoDWithin`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoDifference`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoDisjoint`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoDistance`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoEndPoint`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoEnvelope`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`GeoEquals`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoGeometryN`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`GeoGeometryType`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoIntersection`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoIntersects`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoIsValid`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`GeoLength`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoLineLocatePoint`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`GeoLineMerge`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`GeoLineSubstring`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`GeoMaxDistance`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified }
`GeoNPoints`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoNRings`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-cancel:{ .cancel }
`GeoOrderingEquals`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`GeoOverlaps`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`GeoPerimeter`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoPointN`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified }
`GeoPoint`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified }
`GeoSRID`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`GeoSetSRID`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`GeoSimplify`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoStartPoint`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoTouches`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoTransform`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-cancel:{ .cancel }
`GeoUnaryUnion`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoUnion`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoWithin`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoXMax`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified }
`GeoXMin`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified }
`GeoX`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
`GeoYMax`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified }
`GeoYMin`,:material-cancel:{ .cancel },:material-cancel:{ .cancel },:material-check-decagram:{ .verified }
`GeoY`,:material-check-decagram:{ .verified },:material-check-decagram:{ .verified },:material-check-decagram:{ .verified }
