FullOperation,bigquery,clickhouse,dask,datafusion,druid,duckdb,impala,mssql,mysql,oracle,pandas,polars,postgres,pyspark,snowflake,sqlite,trino
ibis.expr.operations.analytic.CumeDist,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True
ibis.expr.operations.analytic.CumulativeAll,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,True
ibis.expr.operations.analytic.CumulativeAny,False,False,True,False,True,False,False,True,False,True,True,False,True,False,False,True,True
ibis.expr.operations.analytic.CumulativeMax,False,False,True,False,True,True,False,True,False,True,True,False,True,True,True,True,True
ibis.expr.operations.analytic.CumulativeMean,False,False,True,False,True,True,False,True,False,True,True,False,True,True,True,True,True
ibis.expr.operations.analytic.CumulativeMin,False,False,True,False,True,True,False,True,False,True,True,False,True,True,True,True,True
ibis.expr.operations.analytic.CumulativeSum,False,False,True,False,True,True,False,True,False,True,True,False,True,True,True,True,True
ibis.expr.operations.analytic.DenseRank,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True
ibis.expr.operations.analytic.FirstValue,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True
ibis.expr.operations.analytic.Lag,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True
ibis.expr.operations.analytic.LastValue,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True
ibis.expr.operations.analytic.Lead,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True
ibis.expr.operations.analytic.MinRank,True,True,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True
ibis.expr.operations.analytic.NTile,True,True,False,False,True,False,True,True,False,True,False,False,True,True,False,True,False
ibis.expr.operations.analytic.NthValue,True,True,False,False,True,True,False,False,True,True,False,False,True,True,True,True,True
ibis.expr.operations.analytic.PercentRank,True,False,True,False,True,True,True,True,True,True,True,False,True,True,True,True,True
ibis.expr.operations.analytic.RowNumber,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,True,True
ibis.expr.operations.arrays.ArrayColumn,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,False,True
ibis.expr.operations.arrays.ArrayConcat,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,False,True
ibis.expr.operations.arrays.ArrayContains,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True
ibis.expr.operations.arrays.ArrayDistinct,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True
ibis.expr.operations.arrays.ArrayFilter,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
ibis.expr.operations.arrays.ArrayIndex,True,True,True,False,False,True,False,False,False,False,True,False,True,True,True,False,True
ibis.expr.operations.arrays.ArrayLength,True,True,True,False,False,True,False,False,False,False,True,True,True,True,True,False,True
ibis.expr.operations.arrays.ArrayMap,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
ibis.expr.operations.arrays.ArrayPosition,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True
ibis.expr.operations.arrays.ArrayRemove,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True
